Province/State,Country/Region,Lat,Long,Dia-90,Dia-89,Dia-88,Dia-87,Dia-86,Dia-85,Dia-84,Dia-83,Dia-82,Dia-81,Dia-80,Dia-79,Dia-78,Dia-77,Dia-76,Dia-75,Dia-74,Dia-73,Dia-72,Dia-71,Dia-70,Dia-69,Dia-68,Dia-67,Dia-66,Dia-65,Dia-64,Dia-63,Dia-62,Dia-61,Dia-60,Dia-59,Dia-58,Dia-57,Dia-56,Dia-55,Dia-54,Dia-53,Dia-52,Dia-51,Dia-50,Dia-49,Dia-48,Dia-47,Dia-46,Dia-45,Dia-44,Dia-43,Dia-42,Dia-41,Dia-40,Dia-39,Dia-38,Dia-37,Dia-36,Dia-35,Dia-34,Dia-33,Dia-32,Dia-31,Dia-30,Dia-29,Dia-28,Dia-27,Dia-26,Dia-25,Dia-24,Dia-23,Dia-22,Dia-21,Dia-20,Dia-19,Dia-18,Dia-17,Dia-16,Dia-15,Dia-14,Dia-13,Dia-12,Dia-11,Dia-10,Dia-9,Dia-8,Dia-7,Dia-6,Dia-5,Dia-4,Dia-3,Dia-2,Dia-1,Clase
,Afghanistan,3.393.911,67.709.953,111592,113124,114220,115751,117158,118659,120216,122156,123485,124748,125937,127464,129021,130113,131586,132777,133578,134653,135889,136643,137853,139051,140224,140602,141499,142414,142762,143183,143439,143666,143871,144285,145008,145552,145996,146523,147154,147501,147985,148572,148933,149361,149810,150240,150458,150778,151013,151291,151563,151770,151941,152033,152142,152243,152363,152411,152448,152497,152511,152583,152660,152722,152822,152960,153007,153033,153148,153220,153260,153306,153375,153395,153423,153534,153626,153736,153840,153962,153982,153990,154094,154180,154283,154361,154487,154487,154487,154585,154712,154757,154800
,Albania,411.533,201.683,132506,132509,132512,132513,132514,132521,132523,132526,132534,132535,132537,132544,132557,132565,132580,132587,132592,132597,132608,132616,132629,132647,132665,132686,132697,132740,132763,132797,132828,132853,132875,132891,132922,132952,132999,133036,133081,133121,133146,133211,133310,133442,133591,133730,133912,133981,134201,134487,134761,135140,135550,135947,136147,136598,137075,137597,138132,138790,139324,139721,140521,141365,142253,143174,144079,144847,145333,146387,147369,148222,149117,150101,150997,151499,152239,153318,154316,155293,156162,157026,157436,158431,159423,160365,161324,162173,162953,163404,164276,165096,165864
,Algeria,280.339,16.596,137772,138113,138465,138840,139229,139626,140075,140550,141007,141471,141966,142447,143032,143652,144483,145296,146064,146942,147883,148797,149906,151103,152210,153309,154486,155784,157005,158213,159563,160868,162155,163660,165204,167131,168668,170189,171392,172564,173922,175229,176724,178013,179216,180356,181376,182368,183347,184191,185042,185902,186655,187258,187968,188663,189384,190078,190656,191171,191583,192089,192626,193171,193674,194186,194671,195162,195574,196080,196527,196915,197308,197659,198004,198313,198645,198962,199275,199560,199822,200068,200301,200528,200770,200989,201224,201425,201600,201766,201948,202122,202283
,Andorra,425.063,15.218,13882,13882,13882,13882,13900,13911,13918,13918,13918,13918,13918,13991,14021,14050,14075,14075,14075,14155,14167,14167,14239,14273,14273,14273,14359,14379,14379,14464,14498,14498,14498,14577,14586,14586,14655,14678,14678,14678,14747,14766,14797,14809,14836,14836,14836,14836,14873,14891,14908,14924,14924,14924,14954,14960,14976,14981,14988,14988,14988,15002,15003,15014,15016,15025,15025,15025,15032,15033,15046,15052,15055,15055,15055,15069,15070,15070,15078,15083,15083,15083,15096,15099,15108,15113,15124,15124,15124,15140,15140,15153,15156
,Angola,-112.027,178.739,38371,38528,38556,38613,38682,38849,38965,39089,39172,39230,39300,39375,39491,39593,39791,39881,39958,40055,40138,40327,40530,40631,40707,40805,40906,41061,41227,41405,41629,41736,41780,41879,42110,42288,42486,42646,42777,42815,42970,43070,43158,43269,43487,43592,43662,43747,43890,43998,44174,44328,44534,44617,44739,44972,45175,45325,45583,45817,45945,46076,46340,46539,46726,46929,47079,47168,47331,47544,47781,48004,48261,48475,48656,48790,49114,49349,49628,49943,50348,50446,50738,51047,51407,51827,52208,52307,52307,52644,52968,53387,53840
,Antigua and Barbuda,170.608,-617.964,1263,1263,1263,1263,1263,1263,1264,1264,1264,1264,1264,1265,1265,1266,1266,1266,1266,1266,1266,1267,1267,1268,1268,1268,1275,1275,1275,1277,1277,1280,1280,1280,1288,1288,1295,1303,1303,1303,1303,1303,1311,1320,1328,1328,1338,1348,1348,1372,1372,1372,1378,1397,1397,1397,1421,1421,1447,1490,1490,1540,1540,1598,1598,1598,1638,1651,1713,1715,1719,1742,1750,1759,1870,1878,1960,1974,2059,2059,2166,2166,2297,2304,2304,2304,2603,2603,2603,2603,2603,2625,2815
,Argentina,-384.161,-636.167,4374587,4393142,4405247,4423636,4447701,4470374,4491551,4512439,4526473,4535473,4552750,4574340,4593763,4613019,4627537,4639098,4647948,4662937,4682960,4702657,4719952,4737213,4749443,4756378,4769142,4784219,4798851,4812351,4827973,4839109,4846615,4859170,4875927,4891810,4905925,4919408,4929764,4935847,4947030,4961880,4975616,4989402,5002951,5012754,5018895,5029075,5041487,5052884,5066253,5074725,5080908,5084635,5088271,5096443,5106207,5116803,5124963,5130852,5133831,5139966,5148085,5155079,5161926,5167733,5171458,5173531,5178889,5185620,5190948,5195601,5199919,5202405,5203802,5207695,5211801,5215332,5218993,5221809,5223604,5224534,5226831,5229848,5232358,5234851,5237159,5238610,5239232,5241394,5243231,5245265,5246998
,Armenia,400.691,450.382,224635,224728,224797,224851,224967,225095,225221,225339,225464,225553,225606,225661,225801,225987,226135,226285,226388,226459,226597,226756,226949,227111,227298,227430,227522,227716,227936,228161,228382,228632,228798,228910,229090,229370,229603,229867,230110,230339,230476,230713,230993,231322,231625,231923,232157,232297,232610,233001,233400,233797,234227,234558,234814,235171,235675,236234,236742,237249,237634,237885,238422,239056,239739,240261,240953,241336,241611,242135,242750,243386,243981,244602,245025,245264,245765,246410,246997,247666,248397,248850,249146,249803,250559,251323,252082,253093,253600,253942,254436,254709,255648
Australian Capital Territory,Australia,-354.735,1.490.124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,129,131,133,152,169,191,207,219,226,245,261,291,300,314,335,361,374,386,398,421,433,451,483,498,509,528,548,563,587,602,617,630,652,665,680,710,725,742,749,765,782,798,817
New South Wales,Australia,-338.688,1.512.093,5725,5756,5778,5798,5826,5854,5886,5926,5942,5979,5997,6025,6064,6109,6161,6243,6359,6452,6551,6618,6716,6833,6942,7042,7121,7233,7357,7492,7651,7792,7943,8118,8294,8531,8703,8915,9153,9360,9562,9795,10063,10354,10662,10917,11201,11558,11902,12245,12629,13092,13503,13978,14416,15043,15717,16353,17173,17995,18800,19545,20466,21471,22346,23372,24585,25857,27026,28111,29390,30807,32323,33792,35064,36267,37724,39108,40616,42219,43436,44674,45782,47007,48341,49611,50919,51986,52922,53898,54919,55962,56988
