@relation confirmated_deaths_Col_3_month

@attribute Fecha {6/11/21,6/12/21,6/13/21,6/14/21,6/15/21,6/16/21,6/17/21,6/18/21,6/19/21,6/20/21,6/21/21,6/22/21,6/23/21,6/24/21,6/25/21,6/26/21,6/27/21,6/28/21,6/29/21,6/30/21,7/1/21,7/2/21,7/3/21,7/4/21,7/5/21,7/6/21,7/7/21,7/8/21,7/9/21,7/10/21,7/11/21,7/12/21,7/13/21,7/14/21,7/15/21,7/16/21,7/17/21,7/18/21,7/19/21,7/20/21,7/21/21,7/22/21,7/23/21,7/24/21,7/25/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21,8/1/21,8/2/21,8/3/21,8/4/21,8/5/21,8/6/21,8/7/21,8/8/21,8/9/21,8/10/21,8/11/21,8/12/21,8/13/21,8/14/21,8/15/21,8/16/21,8/17/21,8/18/21,8/19/21,8/20/21,8/21/21,8/22/21,8/23/21,8/24/21,8/25/21,8/26/21,8/27/21,8/28/21,8/29/21,8/30/21,8/31/21,9/1/21,9/2/21,9/3/21,9/4/21,9/5/21,9/6/21,9/7/21,9/8/21}
@attribute Confirmados numeric
@attribute Fallecidos numeric

@data
6/11/21,29570,569
6/12/21,29998,577
6/13/21,28519,586
6/14/21,24376,588
6/15/21,24452,599
6/16/21,27827,595
6/17/21,29945,596
6/18/21,28790,590
6/19/21,28734,589
6/20/21,27818,599
6/21/21,23239,648
6/22/21,28616,720
6/23/21,29995,645
6/24/21,32997,689
6/25/21,32733,685
6/26/21,33594,693
6/27/21,32376,664
6/28/21,28478,648
6/29/21,25880,608
6/30/21,27908,610
7/1/21,28315,593
7/2/21,28005,586
7/3/21,26928,591
7/4/21,26265,582
7/5/21,25366,570
7/6/21,26721,553
7/7/21,24229,559
7/8/21,23275,577
7/9/21,21536,576
7/10/21,20915,567
7/11/21,19423,528
7/12/21,18650,509
7/13/21,17532,504
7/14/21,17230,498
7/15/21,18070,496
7/16/21,17893,500
7/17/21,19925,498
7/18/21,18206,476
7/19/21,16455,446
7/20/21,12829,378
7/21/21,11244,351
7/22/21,12576,354
7/23/21,13164,352
7/24/21,11064,350
7/25/21,11048,330
7/26/21,8503,314
7/27/21,11426,300
7/28/21,9364,319
7/29/21,9690,325
7/30/21,9462,306
7/31/21,9029,291
8/1/21,9094,275
8/2/21,6636,218
8/3/21,6929,0
8/4/21,7084,479
8/5/21,6540,204
8/6/21,6980,188
8/7/21,6051,190
8/8/21,4350,181
8/9/21,4023,143
8/10/21,3948,167
8/11/21,5368,185
8/12/21,4272,144
8/13/21,4027,124
8/14/21,4007,135
8/15/21,3132,103
8/16/21,3161,121
8/17/21,3247,108
8/18/21,3154,93
8/19/21,3193,120
8/20/21,3416,122
8/21/21,2965,98
8/22/21,2640,95
8/23/21,2698,99
8/24/21,2467,73
8/25/21,2448,86
8/26/21,1935,93
8/27/21,2078,81
8/28/21,2141,95
8/29/21,1954,68
8/30/21,2006,72
8/31/21,1822,62
9/1/21,1996,71
9/2/21,1949,81
9/3/21,1850,61
9/4/21,2099,72
9/5/21,1669,48
9/6/21,1124,53
9/7/21,1637,47
9/8/21,1787,49
