Fecha,Confirmados,Fallecidos
1/22/20,0,0
1/23/20,0,0
1/24/20,0,0
1/25/20,0,0
1/26/20,0,0
1/27/20,0,0
1/28/20,0,0
1/29/20,0,0
1/30/20,0,0
1/31/20,0,0
2/1/20,1,0
2/2/20,0,0
2/3/20,0,0
2/4/20,0,0
2/5/20,0,0
2/6/20,0,0
2/7/20,0,0
2/8/20,0,0
2/9/20,1,0
2/10/20,0,0
2/11/20,0,0
2/12/20,0,0
2/13/20,0,0
2/14/20,0,0
2/15/20,0,0
2/16/20,0,0
2/17/20,0,0
2/18/20,0,0
2/19/20,0,0
2/20/20,0,0
2/21/20,0,0
2/22/20,0,0
2/23/20,0,0
2/24/20,0,0
2/25/20,4,0
2/26/20,7,0
2/27/20,2,0
2/28/20,17,0
2/29/20,13,0
3/1/20,39,0
3/2/20,36,0
3/3/20,45,1
3/4/20,57,1
3/5/20,37,1
3/6/20,141,2
3/7/20,100,5
3/8/20,173,7
3/9/20,400,11
3/10/20,622,7
3/11/20,582,19
3/12/20,0,1
3/13/20,2955,78
3/14/20,1159,62
3/15/20,1407,94
3/16/20,2144,53
3/17/20,1806,191
3/18/20,2162,90
3/19/20,4053,207
3/20/20,2447,213
3/21/20,4964,332
3/22/20,3394,397
3/23/20,6368,539
3/24/20,4749,497
3/25/20,9630,839
3/26/20,8271,718
3/27/20,7933,773
3/28/20,7516,844
3/29/20,6875,821
3/30/20,7846,913
3/31/20,7967,748
4/1/20,8195,923
4/2/20,7947,961
4/3/20,7134,850
4/4/20,6969,749
4/5/20,5478,694
4/6/20,5029,700
4/7/20,5267,704
4/8/20,6278,747
4/9/20,5002,655
4/10/20,5051,634
4/11/20,4754,525
4/12/20,3804,603
4/13/20,3268,547
4/14/20,2442,300
4/15/20,5103,652
4/16/20,7304,607
4/17/20,5891,687
4/18/20,887,41
4/19/20,6948,410
4/20/20,1536,399
4/21/20,3968,430
4/22/20,4211,435
4/23/20,4635,440
4/24/20,0,367
4/25/20,2915,378
4/26/20,1729,288
4/27/20,1831,331
4/28/20,1308,301
4/29/20,2144,453
4/30/20,518,268
5/1/20,1781,0
5/2/20,1366,557
5/3/20,884,164
5/4/20,545,164
5/5/20,1318,185
5/6/20,996,244
5/7/20,1122,213
5/8/20,1410,229
5/9/20,721,179
5/10/20,772,143
5/11/20,3086,123
5/12/20,594,176
5/13/20,661,184
5/14/20,849,217
5/15/20,643,138
5/16/20,515,104
5/17/20,0,0
5/18/20,908,146
5/19/20,431,69
5/20/20,518,110
5/21/20,482,52
5/22/20,1787,688
5/23/20,466,50
5/24/20,482,74
5/25/20,0,0
5/26/20,859,283
5/27/20,0,0
5/28/20,1647,2
5/29/20,658,2
5/30/20,664,4
5/31/20,251,2
6/1/20,159,0
6/2/20,294,0
6/3/20,394,1
6/4/20,334,5
6/5/20,318,1
6/6/20,332,1
6/7/20,240,1
6/8/20,167,0
6/9/20,249,0
6/10/20,314,0
6/11/20,427,0
6/12/20,502,0
6/13/20,396,0
6/14/20,323,0
6/15/20,181,0
6/16/20,219,0
6/17/20,355,0
6/18/20,585,0
6/19/20,307,1179
6/20/20,363,7
6/21/20,334,1
6/22/20,232,1
6/23/20,248,1
6/24/20,334,2
6/25/20,400,3
6/26/20,419,8
6/27/20,564,3
6/28/20,301,2
6/29/20,200,3
6/30/20,301,9
7/1/20,388,9
7/2/20,444,4
7/3/20,442,17
7/4/20,0,0
7/5/20,0,0
7/6/20,1244,3
7/7/20,341,4
7/8/20,383,4
7/9/20,543,5
7/10/20,852,2
7/11/20,0,0
7/12/20,0,0
7/13/20,2045,3
7/14/20,666,3
7/15/20,875,4
7/16/20,1361,3
7/17/20,1400,4
7/18/20,0,0
7/19/20,0,0
7/20/20,4581,2
7/21/20,1358,2
7/22/20,1357,2
7/23/20,2615,3
7/24/20,2255,3
7/25/20,0,0
7/26/20,0,0
7/27/20,6361,2
7/28/20,1828,2
7/29/20,2031,5
7/30/20,2789,2
7/31/20,3092,2
8/1/20,0,0
8/2/20,0,0
8/3/20,8532,27
8/4/20,5760,26
8/5/20,2953,1
8/6/20,4088,1
8/7/20,4507,3
8/8/20,0,0
8/9/20,0,0
8/10/20,8618,73
8/11/20,3632,5
8/12/20,3172,-2
8/13/20,7550,26
8/14/20,5479,12
8/15/20,0,0
8/16/20,0,0
8/17/20,16269,29
8/18/20,5114,24
8/19/20,6671,127
8/20/20,7039,16
8/21/20,8148,25
8/22/20,0,0
8/23/20,0,0
8/24/20,19382,34
8/25/20,7117,52
8/26/20,7296,47
8/27/20,9658,25
8/28/20,9779,15
8/29/20,0,0
8/30/20,0,0
8/31/20,23572,83
9/1/20,8115,58
9/2/20,8581,42
9/3/20,8959,40
9/4/20,10476,184
9/5/20,0,0
9/6/20,0,0
9/7/20,26560,98
9/8/20,8964,78
9/9/20,8866,34
9/10/20,10764,71
9/11/20,12183,48
9/12/20,0,0
9/13/20,0,0
9/14/20,27404,101
9/15/20,9437,156
9/16/20,11193,239
9/17/20,11291,162
9/18/20,14389,90
9/19/20,0,0
9/20/20,0,0
9/21/20,31428,168
9/22/20,10799,241
9/23/20,11289,130
9/24/20,10653,84
9/25/20,12272,114
9/26/20,0,0
9/27/20,0,0
9/28/20,31785,179
9/29/20,0,0
9/30/20,20922,380
10/1/20,9419,182
10/2/20,11325,113
10/3/20,0,0
10/4/20,0,0
10/5/20,23480,139
10/6/20,11998,261
10/7/20,10491,76
10/8/20,12423,126
10/9/20,12788,241
10/10/20,0,0
10/11/20,0,0
10/12/20,27856,195
10/13/20,7118,80
10/14/20,11970,209
10/15/20,13318,140
10/16/20,15186,222
10/17/20,0,0
10/18/20,0,0
10/19/20,37889,217
10/20/20,13873,218
10/21/20,16973,156
10/22/20,20986,155
10/23/20,19851,231
10/24/20,0,0
10/25/20,0,0
10/26/20,52188,279
10/27/20,18418,267
10/28/20,19765,168
10/29/20,23580,173
10/30/20,25595,239
10/31/20,0,0
11/1/20,0,0
11/2/20,55019,379
11/3/20,18669,238
11/4/20,25042,1623
11/5/20,21908,368
11/6/20,22516,347
11/7/20,0,0
11/8/20,0,0
11/9/20,52386,512
11/10/20,0,0
11/11/20,36491,760
11/12/20,19511,356
11/13/20,21371,308
11/14/20,0,0
11/15/20,0,0
11/16/20,38273,484
11/17/20,13159,435
11/18/20,15318,351
11/19/20,16233,252
11/20/20,15156,328
11/21/20,0,0
11/22/20,0,0
11/23/20,25886,512
11/24/20,12228,537
11/25/20,10222,369
11/26/20,12289,337
11/27/20,10853,294
11/28/20,0,0
11/29/20,0,0
11/30/20,19979,401
12/1/20,8257,442
12/2/20,9331,273
12/3/20,10127,254
12/4/20,8745,214
12/5/20,0,0
12/6/20,0,0
12/7/20,17681,394
12/8/20,0,0
12/9/20,9773,373
12/10/20,7955,325
12/11/20,10519,280
12/12/20,0,0
12/13/20,0,0
12/14/20,21309,389
12/15/20,10328,388
12/16/20,11078,195
12/17/20,12131,181
12/18/20,11815,149
12/19/20,0,0
12/20/20,0,0
12/21/20,22013,334
12/22/20,10654,260
12/23/20,12386,178
12/24/20,12662,126
12/25/20,0,0
12/26/20,0,0
12/27/20,0,0
12/28/20,24462,298
12/29/20,14089,320
12/30/20,16716,247
12/31/20,18047,148
1/1/21,0,0
1/2/21,0,0
1/3/21,0,0
1/4/21,30579,241
1/5/21,23700,352
1/6/21,0,0
1/7/21,42360,245
1/8/21,25456,199
1/9/21,0,0
1/10/21,0,0
1/11/21,61422,401
1/12/21,25438,408
1/13/21,38869,195
1/14/21,35878,201
1/15/21,40197,235
1/16/21,0,0
1/17/21,0,0
1/18/21,84287,455
1/19/21,34291,404
1/20/21,41576,464
1/21/21,44357,404
1/22/21,42885,400
1/23/21,0,0
1/24/21,0,0
1/25/21,93822,767
1/26/21,36435,586
1/27/21,40285,497
1/28/21,34899,515
1/29/21,38118,513
1/30/21,0,0
1/31/21,0,0
2/1/21,79686,762
2/2/21,29064,724
2/3/21,31596,565
2/4/21,29960,432
2/5/21,28565,584
2/6/21,0,0
2/7/21,0,0
2/8/21,47095,909
2/9/21,16402,766
2/10/21,18114,643
2/11/21,17853,513
2/12/21,14581,530
2/13/21,0,0
2/14/21,0,0
2/15/21,30251,702
2/16/21,10057,530
2/17/21,10829,337
2/18/21,14515,388
2/19/21,11435,397
2/20/21,0,0
2/21/21,0,0
2/22/21,20849,535
2/23/21,7461,443
2/24/21,9212,389
2/25/21,9568,345
2/26/21,8341,329
2/27/21,0,0
2/28/21,0,0
3/1/21,15978,467
3/2/21,0,192
3/3/21,6137,446
3/4/21,6037,254
3/5/21,6654,637
3/6/21,0,0
3/7/21,0,0
3/8/21,11958,298
3/9/21,4012,291
3/10/21,7119,234
3/11/21,6255,124
3/12/21,5348,173
3/13/21,0,0
3/14/21,0,0
3/15/21,11358,166
3/16/21,4962,141
3/17/21,6092,228
3/18/21,6216,117
3/19/21,0,0
3/20/21,0,0
3/21/21,0,0
3/22/21,16471,633
3/23/21,5516,201
3/24/21,0,0
3/25/21,13419,676
3/26/21,7586,590
3/27/21,0,0
3/28/21,0,0
3/29/21,15501,189
3/30/21,4994,106
3/31/21,8534,154
4/1/21,7041,82
4/2/21,0,0
4/3/21,9571,157
4/4/21,0,0
4/5/21,10360,85
4/6/21,6623,128
4/7/21,8788,126
4/8/21,9901,142
4/9/21,10875,149
4/10/21,0,0
4/11/21,0,0
4/12/21,22744,197
4/13/21,6292,100
4/14/21,10474,131
4/15/21,9663,126
4/16/21,10598,99
4/17/21,0,0
4/18/21,0,0
4/19/21,21071,121
4/20/21,0,0
4/21/21,17718,262
4/22/21,10814,132
4/23/21,11731,95
4/24/21,0,0
4/25/21,0,0
4/26/21,19852,147
4/27/21,7665,117
4/28/21,8665,88
4/29/21,10143,137
4/30/21,9135,136
5/1/21,0,0
5/2/21,0,0
5/3/21,16353,77
5/4/21,4515,106
5/5/21,6317,167
5/6/21,7960,160
5/7/21,8186,66
5/8/21,0,0
5/9/21,0,0
5/10/21,13984,103
5/11/21,4941,205
5/12/21,6418,108
5/13/21,5701,73
5/14/21,6347,58
5/15/21,0,0
5/16/21,0,0
5/17/21,11061,93
5/18/21,3988,70
5/19/21,6080,66
5/20/21,5733,33
5/21/21,4792,19
5/22/21,0,0
5/23/21,0,0
5/24/21,11067,91
5/25/21,5359,90
5/26/21,5007,54
5/27/21,5290,33
5/28/21,5482,17
5/29/21,0,0
5/30/21,0,0
5/31/21,9732,48
6/1/21,4388,30
6/2/21,4984,66
6/3/21,5250,0
6/4/21,4969,146
6/5/21,0,1
6/6/21,0,0
