Fecha,Confirmados,Fallecidos
1/22/20,0,0
1/23/20,0,0
1/24/20,0,0
1/25/20,0,0
1/26/20,0,0
1/27/20,0,0
1/28/20,0,0
1/29/20,0,0
1/30/20,0,0
1/31/20,0,0
2/1/20,0,0
2/2/20,0,0
2/3/20,0,0
2/4/20,0,0
2/5/20,0,0
2/6/20,0,0
2/7/20,0,0
2/8/20,0,0
2/9/20,0,0
2/10/20,0,0
2/11/20,0,0
2/12/20,0,0
2/13/20,0,0
2/14/20,0,0
2/15/20,0,0
2/16/20,0,0
2/17/20,0,0
2/18/20,0,0
2/19/20,0,0
2/20/20,0,0
2/21/20,0,0
2/22/20,0,0
2/23/20,0,0
2/24/20,0,0
2/25/20,0,0
2/26/20,0,0
2/27/20,0,0
2/28/20,0,0
2/29/20,0,0
3/1/20,0,0
3/2/20,0,0
3/3/20,0,0
3/4/20,0,0
3/5/20,0,0
3/6/20,1,0
3/7/20,0,0
3/8/20,0,0
3/9/20,0,0
3/10/20,2,0
3/11/20,6,0
3/12/20,0,0
3/13/20,4,0
3/14/20,9,0
3/15/20,12,0
3/16/20,23,0
3/17/20,18,0
3/18/20,27,0
3/19/20,6,0
3/20/20,50,0
3/21/20,38,0
3/22/20,35,2
3/23/20,46,1
3/24/20,101,0
3/25/20,92,1
3/26/20,21,2
3/27/20,48,0
3/28/20,69,0
3/29/20,94,4
3/30/20,96,2
3/31/20,108,4
4/1/20,159,1
4/2/20,96,2
4/3/20,106,6
4/4/20,139,7
4/5/20,79,3
4/6/20,94,11
4/7/20,201,4
4/8/20,274,4
4/9/20,169,15
4/10/20,250,11
4/11/20,236,20
4/12/20,67,9
4/13/20,76,3
4/14/20,127,15
4/15/20,126,4
4/16/20,128,13
4/17/20,206,9
4/18/20,182,13
4/19/20,171,13
4/20/20,185,10
4/21/20,172,7
4/22/20,207,10
4/23/20,205,9
4/24/20,320,10
4/25/20,261,8
4/26/20,237,11
4/27/20,218,9
4/28/20,352,16
4/29/20,258,9
4/30/20,300,15
5/1/20,499,21
5/2/20,279,10
5/3/20,383,16
5/4/20,305,18
5/5/20,640,20
5/6/20,346,19
5/7/20,497,10
5/8/20,595,21
5/9/20,444,17
5/10/20,568,18
5/11/20,550,16
5/12/20,659,14
5/13/20,658,16
5/14/20,680,16
5/15/20,606,21
5/16/20,723,16
5/17/20,635,12
5/18/20,721,18
5/19/20,640,21
5/20/20,752,17
5/21/20,643,22
5/22/20,801,30
5/23/20,1046,23
5/24/20,998,22
5/25/20,806,23
5/26/20,1022,26
5/27/20,1101,27
5/28/20,1262,19
5/29/20,1322,31
5/30/20,1548,37
5/31/20,1147,49
6/1/20,1110,30
6/2/20,1340,40
6/3/20,1521,36
6/4/20,1766,42
6/5/20,1515,58
6/6/20,1392,60
6/7/20,1209,54
6/8/20,1483,49
6/9/20,1359,64
6/10/20,1604,61
6/11/20,1530,55
6/12/20,1646,57
6/13/20,1888,47
6/14/20,2193,75
6/15/20,2124,59
6/16/20,1868,75
6/17/20,2115,63
6/18/20,3171,86
6/19/20,3059,95
6/20/20,2357,81
6/21/20,3019,111
6/22/20,2531,73
6/23/20,2389,94
6/24/20,3541,87
6/25/20,3486,163
6/26/20,3843,157
6/27/20,4149,128
6/28/20,3178,239
6/29/20,3274,96
6/30/20,2803,60
7/1/20,4163,136
7/2/20,4101,171
7/3/20,3395,136
7/4/20,3884,165
7/5/20,3721,122
7/6/20,3171,146
7/7/20,4213,149
7/8/20,4144,168
7/9/20,5335,187
7/10/20,6803,211
7/11/20,4856,194
7/12/20,4813,188
7/13/20,3832,148
7/14/20,5621,170
7/15/20,5271,189
7/16/20,8037,215
7/17/20,8934,259
7/18/20,8560,228
7/19/20,6578,220
7/20/20,6727,193
7/21/20,7033,237
7/22/20,7390,207
7/23/20,7945,315
7/24/20,7168,287
7/25/20,7254,294
7/26/20,8181,256
7/27/20,8125,252
7/28/20,10284,297
7/29/20,8670,380
7/30/20,9965,356
7/31/20,9488,295
8/1/20,10673,225
8/2/20,11470,320
8/3/20,10199,367
8/4/20,7129,298
8/5/20,10735,309
8/6/20,11996,315
8/7/20,9494,311
8/8/20,9666,290
8/9/20,10611,302
8/10/20,10142,312
8/11/20,12830,321
8/12/20,12066,362
8/13/20,11286,308
8/14/20,11306,347
8/15/20,11578,318
8/16/20,11643,287
8/17/20,8328,275
8/18/20,12462,247
8/19/20,13056,360
8/20/20,11541,204
8/21/20,8419,385
8/22/20,10965,400
8/23/20,8036,348
8/24/20,10549,296
8/25/20,10425,277
8/26/20,10130,295
8/27/20,9752,283
8/28/20,8497,299
8/29/20,9392,297
8/30/20,8020,300
8/31/20,7190,299
9/1/20,8932,388
9/2/20,9295,295
9/3/20,8253,273
9/4/20,8489,270
9/5/20,8393,268
9/6/20,8065,256
9/7/20,5327,203
9/8/20,7665,202
9/9/20,7338,236
9/10/20,7813,222
9/11/20,7424,243
9/12/20,6876,216
9/13/20,7355,190
9/14/20,5573,199
9/15/20,6698,165
9/16/20,7787,190
9/17/20,7568,187
9/18/20,6526,0
9/19/20,7927,374
9/20/20,6678,169
9/21/20,5359,189
9/22/20,7102,0
9/23/20,6731,349
9/24/20,6555,0
9/25/20,7494,357
9/26/20,7721,193
9/27/20,7018,192
9/28/20,5147,153
9/29/20,5839,187
9/30/20,5637,170
10/1/20,5660,198
10/2/20,6193,201
10/3/20,6615,159
10/4/20,6905,156
10/5/20,7106,132
10/6/20,7650,173
10/7/20,7876,163
10/8/20,8495,0
10/9/20,8121,315
10/10/20,8447,165
10/11/20,8569,174
10/12/20,7768,151
10/13/20,5014,156
10/14/20,6061,165
10/15/20,6823,151
10/16/20,8372,159
10/17/20,7017,187
10/18/20,7201,167
10/19/20,6311,132
10/20/20,8256,170
10/21/20,7561,192
10/22/20,8673,173
10/23/20,8569,165
10/24/20,8769,198
10/25/20,8174,154
10/26/20,9167,194
10/27/20,8166,217
10/28/20,8717,188
10/29/20,11187,173
10/30/20,10029,209
10/31/20,11033,179
11/1/20,9137,201
11/2/20,9935,138
11/3/20,6136,194
11/4/20,8694,166
11/5/20,9891,196
11/6/20,9756,196
11/7/20,8714,190
11/8/20,7440,196
11/9/20,5177,183
11/10/20,6292,154
11/11/20,9970,184
11/12/20,8686,179
11/13/20,8685,178
11/14/20,8937,160
11/15/20,7112,202
11/16/20,6471,192
11/17/20,5911,158
11/18/20,6875,182
11/19/20,7487,198
11/20/20,7954,168
11/21/20,7049,175
11/22/20,7924,183
11/23/20,6562,192
11/24/20,7515,198
11/25/20,8497,183
11/26/20,9496,159
11/27/20,10023,195
11/28/20,9103,187
11/29/20,8763,183
11/30/20,8430,182
12/1/20,7986,168
12/2/20,9297,183
12/3/20,9233,188
12/4/20,9285,162
12/5/20,9642,166
12/6/20,8854,175
12/7/20,5997,187
12/8/20,7510,163
12/9/20,7523,150
12/10/20,7778,176
12/11/20,8998,185
12/12/20,8163,197
12/13/20,8702,187
12/14/20,8742,142
12/15/20,10130,161
12/16/20,11953,204
12/17/20,12196,227
12/18/20,13277,232
12/19/20,13990,249
12/20/20,11160,207
12/21/20,10845,205
12/22/20,12526,251
12/23/20,14233,243
12/24/20,14940,280
12/25/20,14941,236
12/26/20,10196,253
12/27/20,9594,228
12/28/20,9310,203
12/29/20,11015,246
12/30/20,11639,289
12/31/20,16314,304
1/1/21,12105,282
1/2/21,11528,270
1/3/21,9412,200
1/4/21,10311,222
1/5/21,16835,241
1/6/21,16805,295
1/7/21,17576,344
1/8/21,18221,364
1/9/21,15795,353
1/10/21,15537,330
1/11/21,15003,337
1/12/21,14179,331
1/13/21,15898,342
1/14/21,17121,367
1/15/21,21078,377
1/16/21,20855,388
1/17/21,17379,375
1/18/21,14719,373
1/19/21,15939,398
1/20/21,17908,390
1/21/21,15366,395
1/22/21,15073,399
1/23/21,15551,396
1/24/21,12516,392
1/25/21,12261,373
1/26/21,13606,381
1/27/21,13953,395
1/28/21,12270,390
1/29/21,10058,371
1/30/21,9173,366
1/31/21,8078,333
2/1/21,9622,289
2/2/21,10091,304
2/3/21,11025,301
2/4/21,9790,254
2/5/21,7248,272
2/6/21,8547,290
2/7/21,6009,300
2/8/21,4246,297
2/9/21,5442,217
2/10/21,6443,226
2/11/21,6294,250
2/12/21,5528,213
2/13/21,4947,229
2/14/21,4923,180
2/15/21,3510,181
2/16/21,4049,163
2/17/21,5103,185
2/18/21,4824,200
2/19/21,4476,177
2/20/21,5017,174
2/21/21,4244,149
2/22/21,3401,140
2/23/21,3926,144
2/24/21,3953,142
2/25/21,3683,136
2/26/21,3567,122
2/27/21,3343,142
2/28/21,3555,106
3/1/21,3570,100
3/2/21,4339,106
3/3/21,3047,110
3/4/21,3565,107
3/5/21,3371,111
3/6/21,3663,112
3/7/21,3411,91
3/8/21,2205,95
3/9/21,3511,78
3/10/21,3588,97
3/11/21,4579,85
3/12/21,4078,92
3/13/21,4465,96
3/14/21,4062,97
3/15/21,2740,100
3/16/21,3716,125
3/17/21,4554,130
3/18/21,5139,138
3/19/21,5133,135
3/20/21,6761,136
3/21/21,6043,121
3/22/21,5048,120
3/23/21,4946,126
3/24/21,5986,120
3/25/21,6732,125
3/26/21,7395,126
3/27/21,8254,145
3/28/21,7139,165
3/29/21,7049,124
3/30/21,7952,176
3/31/21,8646,167
4/1/21,11449,192
4/2/21,10222,163
4/3/21,9149,155
4/4/21,9022,162
4/5/21,10190,199
4/6/21,11827,231
4/7/21,11381,243
4/8/21,12464,247
4/9/21,12125,269
4/10/21,14509,325
4/11/21,17483,281
4/12/21,16739,267
4/13/21,16377,326
4/14/21,16487,337
4/15/21,16918,380
4/16/21,16703,365
4/17/21,16654,367
4/18/21,16871,397
4/19/21,14189,420
4/20/21,16965,429
4/21/21,17212,419
4/22/21,19306,430
4/23/21,19925,420
4/24/21,16730,440
4/25/21,17190,465
4/26/21,12839,448
4/27/21,17578,436
4/28/21,19745,490
4/29/21,17308,505
4/30/21,17790,490
5/1/21,18022,272
5/2/21,15909,485
5/3/21,11599,687
5/4/21,14551,463
5/5/21,14806,388
5/6/21,16490,399
5/7/21,17525,453
5/8/21,16910,492
5/9/21,17222,495
5/10/21,12543,488
5/11/21,16425,429
5/12/21,16993,490
5/13/21,19160,499
5/14/21,16581,490
5/15/21,18873,530
5/16/21,15093,520
5/17/21,12984,509
5/18/21,13137,482
5/19/21,16579,452
5/20/21,16086,490
5/21/21,14838,486
5/22/21,18737,509
5/23/21,21669,496
5/24/21,16977,483
5/25/21,21181,459
5/26/21,23487,514
5/27/21,25092,513
5/28/21,23374,514
