Fecha,Confirmados,Fallecidos
6/11/21,4142,36
6/12/21,0,0
6/13/21,0,0
6/14/21,8167,16
6/15/21,3432,62
6/16/21,3832,36
6/17/21,4197,19
6/18/21,4214,18
6/19/21,0,0
6/20/21,0,0
6/21/21,7209,37
6/22/21,4040,30
6/23/21,4341,29
6/24/21,4507,18
6/25/21,4924,13
6/26/21,0,0
6/27/21,0,0
6/28/21,10179,10
6/29/21,7091,40
6/30/21,9227,46
7/1/21,12345,8
7/2/21,12563,28
7/3/21,0,0
7/4/21,0,0
7/5/21,32607,23
7/6/21,14137,18
7/7/21,17384,17
7/8/21,17317,28
7/9/21,21879,6
7/10/21,0,0
7/11/21,0,0
7/12/21,33932,17
7/13/21,43960,13
7/14/21,26390,10
7/15/21,27688,41
7/16/21,31060,12
7/17/21,0,0
7/18/21,0,0
7/19/21,61628,23
7/20/21,27286,29
7/21/21,30587,18
7/22/21,29535,28
7/23/21,31171,27
7/24/21,0,0
7/25/21,0,0
7/26/21,61625,47
7/27/21,26399,55
7/28/21,27149,73
7/29/21,26689,46
7/30/21,24753,44
7/31/21,0,0
8/1/21,0,0
8/2/21,55939,157
8/3/21,20327,130
8/4/21,21874,71
8/5/21,21387,87
8/6/21,21561,75
8/7/21,0,0
8/8/21,0,0
8/9/21,39638,119
8/10/21,15680,102
8/11/21,17023,93
8/12/21,17410,87
8/13/21,15657,63
8/14/21,0,0
8/15/21,0,0
8/16/21,25726,125
8/17/21,14336,144
8/18/21,11956,144
8/19/21,12445,121
8/20/21,12450,132
8/21/21,0,0
8/22/21,0,0
8/23/21,23899,201
8/24/21,10072,190
8/25/21,10781,163
8/26/21,7115,171
8/27/21,9489,139
8/28/21,0,0
8/29/21,0,0
8/30/21,15489,146
8/31/21,7767,194
9/1/21,6818,132
9/2/21,9561,168
9/3/21,6311,155
9/4/21,0,0
9/5/21,0,0
9/6/21,9357,133
9/7/21,5528,138
9/8/21,5618,81
